freq (MHz);s11 (dB);real Z_in;imag Z_in;Z_in total
1000.0;-0.03018012136563088;159.83767074496978;-2138.2528970283643;2144.218629860157
1002.0;-0.0297389348622226;157.06803818437794;-2135.4986094615074;2141.2670734009616
1004.0;-0.029306622518512904;154.3476343695366;-2132.6616215276067;2138.2396461042977
1006.0;-0.02888314908746997;151.6769892769291;-2129.746368475962;2135.1406284159975
1008.0;-0.02846846746615844;149.05648933505574;-2126.7571142279016;2131.974122716287
1010.0;-0.028062520034247584;146.48639010906837;-2123.697954981752;2128.7440584722394
1012.0;-0.027665239873200586;143.96682811420746;-2120.5728231173475;2125.4541975166494
1014.0;-0.0272765518760453;141.49783180220024;-2117.385491339553;2122.108139407595
1016.0;-0.026896373756775005;139.07933176459642;-2114.139577007649;2118.7093268294657
1018.0;-0.026524616967766885;136.71117019657135;-2110.8385466033865;2115.261051001321
1020.0;-0.026161187532979805;134.3931096635014;-2107.485720296456;2111.766457063493
1022.0;-0.0258059868039692;132.12484121179332;-2104.084276571208;2108.228549417597
1024.0;-0.025458912145369838;129.90599186392;-2100.6372568830266;2104.650196998826
1026.0;-0.02511985755575586;127.73613153618803;-2097.1475703171554;2101.034138463004
1028.0;-0.024788714229481774;125.61477941617913;-2093.6179982265544;2097.3829872738884
1030.0;-0.02446537106454047;123.54140983524125;-2090.051198828525;2093.6992366786194
1032.0;-0.024149715121131732;121.515457669618;-2086.4497117432775;2089.985264561993
1034.0;-0.023841632035198398;119.53632330237603;-2082.815962459956;2086.243338171903
1036.0;-0.02354100639082496;117.60337717600545;-2079.152266718254;2082.4756187103017
1038.0;-0.023247722055142334;115.71596396487885;-2075.4608347959042;2078.6841657856617
1040.0;-0.022961662479009326;113.87340639408087;-2071.743775693954;2074.87094172395
1042.0;-0.022682710966464334;112.07500873033598;-2068.0031012137356;2071.0378157367218
1044.0;-0.022410750915752863;110.32005996880994;-2064.240729920804;2067.1865679457906
1046.0;-0.0221456660344165;108.60783673812017;-2060.4584909920804;2063.318893264513
1048.0;-0.021887340530808805;106.93760594479362;-2056.658127944084;2059.4364051370144
1050.0;-0.02163565928406093;105.3086271763825;-2052.841302240638;2055.540639136773
1052.0;-0.021390507994603895;103.72015488214855;-2049.009596779527;2051.6330564268496
1054.0;-0.021151773316798274;102.17144034786294;-2045.1645192581805;2047.7150470842619
1056.0;-0.020919342975491226;100.6617334810335;-2041.3075054191263;2043.7879332914808
1058.0;-0.02069310586786626;99.19028442138408;-2037.439922176504;2039.8529723983036
1060.0;-0.020472952151958462;97.75634499017552;-2033.563070625176;2035.9113598573817
1062.0;-0.020258773323124975;96.3591699915322;-2029.6781889346164;2031.9642320371588
1064.0;-0.02005046227952507;94.99801837742993;-2025.7864551298992;2028.0126689159022
1066.0;-0.0198479133777179;93.67215428759002;-2021.8889897622173;2024.0576966604876
1068.0;-0.019651022479233227;92.38084797442812;-2017.986858471964;2020.100290094039
1070.0;-0.019459686989082185;91.12337662263617;-2014.0810744470273;2016.1413750560262
1072.0;-0.019273805886892644;89.89902507209233;-2010.1726007795494;2012.181830658882
1074.0;-0.019093279751478027;88.7070864524919;-2006.262352724115;2008.2224914448577
1076.0;-0.018918010779411465;87.54686273688355;-2002.351199860615;2004.2641494469524
1078.0;-0.01874790279826587;86.41766522130587;-1998.4399681649613;2000.3075561576711
1080.0;-0.018582861275034324;85.31881493692302;-1994.5294419907832;1996.3534244091918
1082.0;-0.018422793320237378;84.24964300053253;-1990.620365965435;1992.4024301686845
1084.0;-0.018267607688155954;83.20949090893897;-1986.7134468032716;1988.4552142520738
1086.0;-0.018117214773634302;82.19771078224703;-1982.8093550394617;1984.5123839598098
1088.0;-0.017971526605784313;81.2136655607563;-1978.9087266873644;1980.5745146379172
1090.0;-0.0178304568389899;80.25672915968285;-1975.0121648224012;1976.6421511674487
1092.0;-0.017693920741452786;79.32628658566942;-1971.1202410954663;1972.715809385559
1094.0;-0.01756183518164059;78.42173401876936;-1967.2334971786427;1968.7959774410917
1096.0;-0.017434118612810783;77.54247886314243;-1963.3524461460993;1964.8831170876583
1098.0;-0.0173106910559423;76.6879397695909;-1959.477573792733;1960.9776649168548
1100.0;-0.017191474081181653;75.85754663278323;-1955.6093398934202;1957.0800335345314
1102.0;-0.01707639078810153;75.05074056564898;-1951.748179405118;1953.1906126823988
1104.0;-0.016965365784839804;74.26697385343252;-1947.8945036145342;1949.3097703077
1106.0;-0.01685832516638045;73.50570988947995;-1944.0487012335432;1945.4378535831418
1108.0;-0.016755196492048992;72.76642309483627;-1940.211139444732;1941.5751898794551
1110.0;-0.016655908762367895;72.0485988234322;-1936.3821648992814;1937.7220876927754
1112.0;-0.016560392395430754;71.35173325451628;-1932.5621046692086;1933.8788375288418
1114.0;-0.016468579202814904;70.67533327393389;-1928.7512671560862;1930.045712746097
1116.0;-0.016380402365243518;70.01891634554148;-1924.9499429581729;1926.2229703595785
1118.0;-0.016295796407953124;69.38201037414747;-1921.1584056978143;1922.4108518074192
1120.0;-0.016214697175979485;68.7641535610433;-1917.3769128108906;1918.60958368168
1122.0;-0.016137041809304316;68.16489425323948;-1913.6057063000865;1914.8193784252364
1124.0;-0.016062768718009088;67.58379078734843;-1909.8450134535888;1911.0404349962685
1126.0;-0.015991817557477958;67.02041132904212;-1906.095047530824;1907.2729395019076
1128.0;-0.01592412920366473;66.47433370878163;-1902.3560084166882;1903.5170658024322
1130.0;-0.01585964572848711;65.94514525463418;-1898.6280832457771;1899.7729760874556
1132.0;-0.015798310375427952;65.43244262281581;-1894.9114469979813;1896.0408214254173
1134.0;-0.015740067535296665;64.93583162649868;-1891.2062630667388;1892.3207422875973
1136.0;-0.01568486272224206;64.45492706352223;-1887.5126838012188;1888.6128690478747
1138.0;-0.015632642550040373;63.98935254332617;-1883.8308510236852;1884.9173224594063
1140.0;-0.015583354708644524;63.538740313788054;-1880.160896523092;1881.2342141092322
1142.0;-0.015536947941046274;63.102731088068495;-1876.5029425261382;1877.5636468519592
1144.0;-0.015493372020477118;62.680973872067725;-1872.8571021466653;1873.9057152233556
1146.0;-0.015452577727906775;62.273125792626544;-1869.2234798146176;1870.2605058350166
1148.0;-0.015414516829937571;61.87885192689022;-1865.602171685243;1866.6280977507236
1150.0;-0.015379142057016048;61.4978251329473;-1861.9932660297284;1863.008562845629
